song,artist,track_id,duration_s,energy,tempo,mode,time_signature,valence,key
Do They Know It's Christmas?  1984 Version,Band Aid ,4Yg2w0P29BBBMixyeNjDtj,222.533,0.643,115.41,1,4,0.349,0
Hate The Other Side,Juice WRLD ,0ada5XsQGLPUVbmTCkAP49,160.212,0.65,90.003,1,4,0.647,6
Super Freaky Girl,Nicki Minaj ,4C6Uex2ILwJi9sZXRdmqXp,170.977,0.891,133.01,1,4,0.912,2
Flashing Lights,Kanye West ,5TRPicyLGbAF2LGBFbHGvO,237.507,0.628,90.482,0,4,0.43,6
Often,The Weeknd ,4PhsKqMdgMEUSstTDAmMpg,249.04,0.631,134.078,0,4,0.0713,7
Hot,Young Thug ,4ea9w8c4ROqiZpJVhfBA3m,279.907,0.631,111.983,0,4,0.545,7
Rain On Me,Lady Gaga ,7ju97lgwC2rKQ6wwsf9no9,182.2,0.855,123.056,1,4,0.646,9
Heaven,Kane Brown ,1HXy5I3HTWq8OvxCn0z7G7,179.507,0.556,80.006,1,4,0.521,9
Stuck In A Dream,Lil Mosey ,7iHHxY2NLlJRAmlAmC4ahQ,123.56,0.648,139.952,0,4,0.726,10
Jugaste y Sufrí,Eslabon Armado ,3NqBxTOMCJ3zW9CIP51td4,275.194,0.499,200.156,1,1,0.34,7
TOES,DaBaby ,2FvD20Z8aoWIePi7PoN8sG,136.366,0.582,160.004,1,4,0.542,8
How Do You Sleep?,Sam Smith ,0xPVx0r4d4bFOexP4G7lAW,202.205,0.685,165.944,0,4,0.363,1
Bad Things  With Camila Cabello,Machine Gun Kelly ,1PSBzsahR2AKwLJgx8ehBj,239.293,0.691,137.853,1,4,0.305,2
PUFFIN ON ZOOTIEZ,Future ,1qMMYpVatbRITKCfq1gasi,172.933,0.657,124.992,1,4,0.284,8
Fine China,Future ,5274I4mUMnYczyeXkGDWZN,141.587,0.542,166.111,1,4,0.551,7
2 Phones,Kevin Gates ,0wdKiSBUT7aZkXUIdJWcwC,240.0,0.681,121.918,0,4,0.554,7
Chandelier,Sia ,2s1sdSqGcKxpPr5lCl7jAV,216.12,0.787,117.089,1,5,0.572,1
No Idea,Don Toliver ,7AzlLxHn24DxjgQX73F9fU,154.424,0.631,127.998,0,4,0.35,6
What’s Next,Drake ,3aQem4jVGdhtg116TmJnHz,178.154,0.594,129.895,0,4,0.0628,0
wokeuplikethis*,Playboi Carti ,59J5nzL1KniFHnU120dQzt,235.535,0.62,78.477,1,4,0.478,8
Después de la Playa,Bad Bunny ,1dm6z1fWB0cErMszU25dy2,230.4,0.903,78.293,1,4,0.607,5
What Ifs,Kane Brown ,7zVCrzzEJU7u24sbJPXA5W,188.253,0.799,125.976,1,4,0.687,10
Back To You,Selena Gomez ,4hQ6UGyWQIGJmHSo0J88JW,207.905,0.724,102.061,1,4,0.508,6
The Woo,Pop Smoke ,1H7KnK26kc1YyellpbINEn,201.6,0.618,99.7,1,4,0.286,1
Despacito (Featuring Daddy Yankee),Luis Fonsi ,6habFhsOp2NvshLv26DqMb,229.36,0.797,177.928,1,4,0.839,2
Don't Stop Believin',Journey ,4bHsxqR3GMrXTxEPLuK5ue,250.987,0.748,118.852,1,4,0.514,4
Energy,Drake ,79XrkTOfV1AqySNjVlygpW,181.933,0.571,172.104,1,4,0.553,11
Narcos,Migos ,0wbnC9AUenxp613TYaJsGK,255.379,0.585,124.991,1,4,0.242,0
Paradise,Bazzi ,0Rx0DJI556Ix5gBny6EWmn,169.038,0.644,122.061,0,4,0.591,11
One Thing Right,Marshmello ,4hPpVbbakQNv8YTHYaOJP4,181.824,0.625,88.042,1,4,0.442,4
i,Lil Skies ,4ZT9FnbFu1PaBfV3itxiqT,181.891,0.453,99.183,1,4,0.431,6
i love you,Billie Eilish ,6CcJMwBtXByIz4zQLzFkKc,291.796,0.131,137.446,1,4,0.12,0
Codeine Dreaming,Kodak Black ,4DTpngLjoHj5gFxEZFeD3J,264.532,0.604,155.007,0,4,0.574,1
pushin P,Gunna ,3XOalgusokruzA5ZBA2Qcb,136.267,0.422,77.502,0,1,0.488,1
Chicago Freestyle,Drake ,4wVOKKEHUJxHCFFNUWDn0B,220.488,0.449,122.947,1,4,0.0397,10
NEW MAGIC WAND,"Tyler, The Creator ",0fv2KH6hac06J86hBUTcSf,195.32,0.73,139.566,0,4,0.464,5
DOLLAZ ON MY HEAD,Gunna ,3nS9a01VvXHQriLqJYwRqG,197.76,0.458,145.115,1,4,0.161,0
Party Monster,The Weeknd ,4F7A0DXBrmUAkp32uenhZt,249.213,0.63,77.525,1,4,0.218,1
Hurricane,Luke Combs ,6xHI9KjUjYT0FPtGO8Mxa1,222.533,0.813,75.977,1,4,0.515,10
Good For You,Selena Gomez ,578Eooad7oUyn4stovZiPg,221.28,0.673,88.952,0,4,0.215,5
Again,Fetty Wap ,3ESSGgWzRf1xvP7G5hHMhB,312.24,0.733,93.019,0,4,0.291,11
Here,Alessia Cara ,664gdARxaClFsoF5SXKOws,199.453,0.822,120.493,1,4,0.327,0
Look What You Made Me Do,Taylor Swift ,1P17dC1amhFzptugyAO7Il,211.853,0.709,128.07,0,4,0.506,9
Pray For Me,The Weeknd ,6huNf4dutXRjJyGn7f5BPS,211.421,0.678,100.626,1,4,0.196,2
Relationship,Young Thug ,25oOaleife6E2MIKmFkPvg,215.307,0.597,145.992,1,4,0.298,2
golden hour,JVKE ,4yNk9iz9WVJikRFle3XEvn,209.26,0.593,94.467,1,3,0.153,4
Good As Hell,Lizzo ,6KgBpzTuTRPebChN0VTyzV,159.736,0.919,95.982,0,4,0.535,0
PROVENZA,KAROL G ,3HqcNJdZ2seoGxhn0wVNDK,207.627,0.517,111.002,1,4,0.54,1
"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby ,6wWaVoUOzLQJHd3bWAUpdZ,194.732,0.686,132.055,0,4,0.886,1
Scars To Your Beautiful,Alessia Cara ,0wI7QkCcs8FUQE1OkXUIqd,230.24,0.739,97.085,1,4,0.451,0
The Kind of Love We Make,Luke Combs ,48UKTR66uUOT9LaUvooTNx,224.427,0.745,102.025,1,4,0.464,1
Lights Up,Harry Styles ,4jAIqgrPjKLTY9Gbez25Qb,172.213,0.621,101.987,0,4,0.27,10
Gyalchester,Drake ,6UjfByV1lDLW0SOVQA4NAi,189.23,0.391,131.018,1,4,0.122,1
Callaita,Bad Bunny ,71wFwRo8xGc4lrcyKwsvba,250.534,0.626,176.086,1,4,0.246,2
IDGAF,Dua Lipa ,76cy1WJvNGJTj78UqeA5zr,217.947,0.544,97.028,1,4,0.51,7
