song,artist,track_id,duration_s,energy,tempo,mode,time_signature,valence,key
Stay,Kygo ,2FiSTH0GYpIioUgjfzMIja,239.465,0.736,103.027,1,4,0.378,8
That Way  Bonus Track,Lil Uzi Vert ,2ajzBr7vwHTEBeqDzcsNRC,212.354,0.598,130.007,0,4,0.504,7
Rockabye,Clean Bandit ,5knuzwU65gJK7IF5yJsuaW,251.088,0.763,101.965,0,4,0.742,9
0 To 100 / The Catch Up,Drake ,4jtyUzZm9WLc2AdaJ1dso7,275.227,0.716,176.618,0,4,0.504,11
Carol of the Bells,Mykola Dmytrovych Leontovych ,4tHqQMWSqmL6YjXwsqthDI,85.267,0.106,46.718,0,4,0.8,8
Rich & Sad,Post Malone ,1yeB8MUNeLo9Ek1UEpsyz6,319.192,0.729,146.01,1,4,0.142,2
Thought You Should Know,Morgan Wallen ,3Qu3Zh4WTKhP9GEXo0aDnb,215.572,0.678,140.05,1,4,0.508,6
All Time Low,Jon Bellion ,0SuLAslEMFZAXf0SwY7syi,217.603,0.567,90.246,1,4,0.505,0
Futsal Shuffle 2020,Lil Uzi Vert ,2Ec33AVlkTTq8BHFgBTdQs,198.913,0.457,136.97,0,4,0.296,7
Don’t Matter To Me,Drake ,6G8kHiVZ1jW7vHMPVRNZU0,245.787,0.318,102.998,1,4,0.138,10
Mob Ties,Drake ,7rC5Pl8rQSX4myONQHYPBK,205.147,0.575,86.009,0,4,0.491,4
Sneakin’,Drake ,4ckuS4Nj4FZ7i3Def3Br8W,251.333,0.558,85.011,1,4,0.26,8
YOUTH,Troye Sivan ,1cOyWWUr3oXJIxY0AjJEx9,185.194,0.737,91.507,1,4,0.592,7
ORANGE SODA,Baby Keem ,5FkoSXiJPKTNyYgALRJFhD,129.882,0.564,85.042,1,4,0.107,1
Weak,AJR ,2sVcBaVtBPM9vIFk1Jnbw8,201.159,0.643,123.977,1,4,0.703,5
Hurricane,Kanye West ,6Hfu9sc7jvv6coyy2LlzBF,243.187,0.561,80.009,1,4,0.351,0
Todo De Ti,Rauw Alejandro ,3rdAz1fbUfZxYgaCviYhRo,199.604,0.719,127.962,0,4,0.336,3
Startender,A Boogie Wit da Hoodie ,0jAfdqv18goRTUxm3ilRjb,192.779,0.622,191.971,0,4,0.506,6
Glorious,Macklemore ,0CokSRCu5hZgPxcZBaEzVE,220.454,0.794,139.994,0,4,0.356,0
No Flockin,Kodak Black ,34oWbFBfGEElvgO0a5c9V4,165.291,0.595,117.532,0,4,0.815,5
Bad Bad Bad,Young Thug ,1GeNui6m825V8jP4uKiIaH,149.04,0.596,111.959,1,4,0.892,6
Deja Vu,J. Cole ,6I6NX6tjGsxFAsIfGzY9lJ,264.747,0.421,174.063,1,4,0.181,9
Conversations,Juice WRLD ,4K06PO78fW4mnBVenxGNob,181.661,0.622,159.93,1,4,0.57,11
CUFF IT,Beyoncé ,1xzi1Jcr7mEi9K2RfzLOqS,225.389,0.689,115.042,1,4,0.642,7
imagine,Ariana Grande ,39LmTF9RgyakzSYX8txrow,212.267,0.475,62.52,1,3,0.371,8
Unforgettable,Thomas Rhett ,30MM5jWpUmOxtTNd9Ey5LZ,157.08,0.75,130.077,1,4,0.828,7
Saved,Khalid ,248OFOZef6ShXv6DGgbnxU,206.533,0.448,81.044,0,4,0.553,10
Bam Bam,Camila Cabello ,0QBzMgT7NIeoCYy3sJCof1,206.071,0.697,94.996,1,4,0.956,8
Who Want Smoke??,Nardo Wick ,7ACW7VpgoKmfM1sKo15UhX,279.573,0.713,75.591,1,4,0.482,6
Selfish,PnB Rock ,2xbI8Vmyv3TkpTdywpPyNw,245.604,0.6,101.981,0,4,0.0399,1
Ransom,Lil Tecca ,1lOe9qE0vR9zwWQAOk6CoO,131.24,0.642,179.974,0,4,0.226,7
Stargirl Interlude,The Weeknd ,5gDWsRxpJ2lZAffh5p7K0w,111.627,0.47,89.965,0,4,0.426,5
Sugar,Robin Schulz ,5tf1VVWniHgryyumXyJM7w,219.043,0.815,123.063,0,4,0.636,5
Act Up,City Girls ,3A2yGHWIzmGEIolwonU69h,158.332,0.638,97.075,1,4,0.313,8
N95,Kendrick Lamar ,0fX4oNGBWO3dSGUZcVdVV2,195.95,0.67,139.956,1,4,0.408,1
EVERY CHANCE I GET,DJ Khaled ,1EJIcDYXwSqipW5dFe4uJz,236.524,0.727,150.062,1,4,0.227,2
Let It Go,James Bay ,13HVjjWUZFaWilh2QUJKsP,260.533,0.311,147.464,1,4,0.246,1
Karma,Taylor Swift ,7KokYm8cMIXCsGVmUvKtqf,204.852,0.62,90.02,1,4,0.0969,8
Suicidal (Remix),YNW Melly ,3fUMC63kQpoEOZBCRrML4Y,225.857,0.442,139.943,0,4,0.272,9
10 Freaky Girls,Metro Boomin ,0AluA5RNsa4Cx6XRhf2hWZ,208.293,0.353,88.031,0,4,0.0727,6
Betty (Get Money),Yung Gravy ,4cacyP5c3PMlfnyjpg13xW,146.471,0.772,102.004,1,4,0.58,1
HOLIDAY,Lil Nas X ,6zFMeegAMYQo0mt8rXtrli,154.998,0.511,151.947,0,4,0.837,5
Uber Everywhere,MadeinTYO ,7zBPzAjKAqQpcv8F8GCq5s,153.429,0.455,140.181,1,4,0.197,1
cardigan,Taylor Swift ,4R2kfaDFhslZEMJqAFNpdd,239.56,0.581,130.033,0,4,0.551,0
My Way,Fetty Wap ,1WoOzgvz6CgH4pX6a1RKGp,213.053,0.741,128.077,1,4,0.537,6
Everybody Talks,Neon Trees ,2iUmqdfGZcHIhS3b9E9EWq,177.28,0.924,154.961,1,4,0.725,8
"You're On Your Own, Kid",Taylor Swift ,4D7BCuvgdJlYvlX5WlN54t,194.207,0.396,120.041,1,4,0.38,2
boyfriend,Ariana Grande ,0Ryd8975WihbObpp5cPW1t,186.107,0.795,190.097,0,4,0.702,10
Baguettes in the Face,Mustard ,2zjGJ0dChMR0KxBZS15aqo,174.1,0.525,99.978,0,4,0.312,2
Boo'd Up,Ella Mai ,0At2qAoaVjIwWNAqrscXli,256.064,0.779,81.965,0,4,0.235,10
t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW ,1QL7nSDZCwZMnbisV4KOXt,168.03,0.83,90.021,0,4,0.191,11
11-Jul,Beyoncé ,4De1ry2yC79qVUR2So9to8,232.707,0.646,126.036,0,4,0.861,8
Topanga,Trippie Redd ,1Am3fwJi1NF1sD2McZfVWi,215.364,0.616,105.952,1,4,0.0388,4
Spoil My Night,Post Malone ,5VuxWXbt7XENQCtE9TzpTv,194.56,0.717,160.981,1,4,0.225,1
K  The Race,Tay,3wGXyJGsCf1myH5MooQIqE,140.0,0.606,160.223,1,4,0.352,9
Sofia,Clairo ,7B3z0ySL9Rr0XvZEAjWZzM,188.387,0.619,112.997,1,4,0.641,0
Lover,Taylor Swift ,1dGr1c8CrMLDpV6mPbImSI,221.307,0.543,68.534,1,4,0.453,7
You should be sad,Halsey ,7lidXGPXPYLNThITAOTlkK,205.473,0.585,110.94,1,4,0.324,2
All About That Bass,Meghan Trainor ,5jE48hhRu8E6zBDPRSkEq7,187.92,0.887,134.052,1,4,0.961,9
Bitch Better Have My Money,Rihanna ,0NTMtAO2BV4tnGvw9EgBVq,219.306,0.728,102.99,1,4,0.395,1
Yummy,Justin Bieber ,4TGn9Ghz9n7CcU0VoFpbzH,208.52,0.506,145.843,0,4,0.497,9
Cash Shit,Megan Thee Stallion ,2rMAtCaTj16NptyVfEIeAC,192.54,0.635,130.028,1,4,0.549,1
Savage,Megan Thee Stallion ,55CHeLEfn5iJ0IIkgaa4si,155.497,0.741,168.983,1,4,0.68,11
Selfish,Future ,6yHkPtl6UQ7RjtJLBPzbJw,251.423,0.369,95.746,1,4,0.0913,8
Snow On The Beach,Taylor Swift ,4zmKGsrXjLmljb5fTaBTot,229.943,0.401,109.846,0,4,0.315,6
Drag Me Down,One Direction ,2K87XMYnUMqLcX3zvtAF4G,192.12,0.703,138.113,0,4,0.595,0
Did It Again,Lil Tecca ,4guBZjUyrGoHsTahO3IHdj,116.24,0.561,148.775,0,4,0.186,10
On My Mind,Ellie Goulding ,5a7NdkF09AfD0H607eiOkX,213.445,0.705,154.911,1,4,0.743,0
Hold On,Justin Bieber ,4J4gd5SocCT7ZWUaFJOZ8e,170.813,0.634,139.98,0,4,0.29,1
One Man Band,Old Dominion ,7cA3PnUQDlUyBBwpRozQeo,186.24,0.358,75.991,1,4,0.478,6
Somebody’s Problem,Morgan Wallen ,42lqBjPYlmL1EXpMDXvhSN,161.773,0.538,136.967,1,4,0.62,5
Anyone,Justin Bieber ,2WnAKZefdRHxtBEkRjFOHC,190.779,0.521,115.885,1,4,0.578,2
Only,Nicki Minaj ,4MRT0dDbhqFKl67WzhUbSw,312.027,0.495,179.196,0,3,0.255,8
4:00 AM,2 Chainz ,1nX9KhK3Fff27SnrIor2Yb,255.56,0.5,75.012,1,4,0.227,1
Trip,Ella Mai ,6CTWathupIiDs7U4InHnDA,213.993,0.61,79.882,0,4,0.358,11
Under The Influence,Chris Brown ,71mHO4fFmS2Xu5XxZbcRND,148.751,0.62,144.835,0,4,0.459,1
H.O.L.Y.,Florida Georgia Line ,0BCy325UZyR9z0t0uxwn2N,194.187,0.666,78.077,0,4,0.564,7
p r i d e . i s . t h e . d e v i l,J. Cole ,5W8jRrZ6tWrTrqnKRtIQBf,218.21,0.656,88.967,0,4,0.331,4
In Your Eyes,The Weeknd ,48fXOicuj4JWLYih7GDYgW,237.522,0.721,100.018,0,4,0.703,7
Transportin',Kodak Black ,1WIZiOuNO3woKfdlSK2gNn,169.345,0.66,94.053,0,4,0.257,10
I.F.L.Y.,Bazzi ,4a6q8CR2hzLk2plDkSxkfD,165.714,0.519,104.954,1,4,0.554,2
Bejeweled,Taylor Swift ,3qoftcUZaUOncvIYjFSPdE,194.166,0.559,163.999,1,4,0.433,7
In Case You Didn't Know,Brett Young ,10M2Ex445zw585Ducldzkw,224.853,0.536,147.986,1,4,0.434,10
willow,Taylor Swift ,0lx2cLdOt3piJbcaXIV74f,214.707,0.574,81.112,1,4,0.529,7
Shotta Flow (Feat. Blueface) [Remix],NLE Choppa ,5BJMeoCXXgbRAWfp6fTulr,176.632,0.511,120.077,1,4,0.567,2
Hymn for the Weekend  Seeb Remix,Coldplay ,6s3GEN8wK0OMzzzZbXj0fu,212.647,0.849,102.034,0,4,0.427,0
LA NOCHE DE ANOCHE,Bad Bunny ,2XIc1pqjXV3Cr2BQUGNBck,203.201,0.618,81.993,1,4,0.391,7
Dusk Till Dawn,ZAYN ,3e7sxremeOE3wTySiOhGiP,239.0,0.437,180.042,0,4,0.0951,11
You Make It Easy,Jason Aldean ,2TXtN9MoV308Y0z1HvyTfV,193.227,0.571,131.877,1,3,0.506,7
Go Stupid,Polo G ,4PklAHGXT5ityno3IA8SKd,165.726,0.833,141.034,1,4,0.645,1
One Night,Lil Yachty ,40yJGQyEaBbIkXpwMFkXip,243.27,0.475,129.974,1,4,0.34,0
Body,Loud Luxury ,21RzyxY3EFaxVy6K4RqaU9,163.216,0.764,121.958,1,4,0.582,1
Be Kind,Marshmello ,3Z8FwOEN59mRMxDCtb8N0A,172.762,0.633,93.995,1,4,0.452,4
Graveyard,Halsey ,2ufmtcIFdFpuUYBPXK5f67,181.806,0.583,92.043,0,4,0.187,11
Post to Be,Omarion ,0fgZUSa7D7aVvv3GfO0A1n,226.581,0.676,97.448,0,4,0.701,10
Just Wanna Rock,Lil Uzi Vert ,4FyesJzVpA39hbYvcseO2d,123.891,0.545,150.187,1,4,0.0385,11
La Corriente,Bad Bunny ,1797zYiX4cKosMH836X9Gt,198.367,0.786,196.12,0,4,0.579,11
No Promises,Cheat Codes ,5lNuqFVMca4vPupY10cH0J,222.787,0.619,112.961,1,4,0.58,10
The Weekend,SZA ,6gU9OKjOE7ghfEd55oRO57,272.187,0.366,73.313,0,3,0.161,8
I Was Never There,The Weeknd ,1cKHdTo9u0ZymJdPGSh6nq,241.067,0.737,113.26,1,4,0.155,10
Be Careful,Cardi B ,2Yl4OmDby9iitgNWZPwxkd,210.787,0.568,152.279,0,4,0.535,6
Summer Sixteen,Drake ,17Q87zeXgsAi9iQQbMu9v0,202.451,0.46,146.274,1,4,0.0541,1
Butter,BTS ,6jjYDGxVJsWS0a5wlVF5vS,164.952,0.459,109.997,1,4,0.695,8
2U,David Guetta ,61WR5FfGNLJxpLsAc61qWQ,194.893,0.612,144.881,0,4,0.521,8
WORKIN ME,Quavo ,4MAsYGSgxsaj73dC2lvFC4,169.657,0.657,169.969,1,4,0.228,8
Ophelia,The Lumineers ,3d8y0t70g7hw2FOWl9Z4Fm,160.097,0.573,76.023,1,4,0.566,5
Animals,Maroon 5 ,2bL2gyO6kBdLkNSkxXNh6x,231.013,0.742,189.868,0,4,0.328,4
Calling My Spirit,Kodak Black ,2MShy1GSSgbmGUxADNIao5,152.0,0.366,119.985,1,4,0.74,1
"Sit Still, Look Pretty",Daya ,6ZtiywT2Qm50a1uR0jlY35,207.761,0.734,90.98,1,4,0.717,2
G.O.M.D.,J. Cole ,0Thqjtu54vKMP06pwZkAWp,301.064,0.4,128.073,0,4,0.336,4
Everybody Wants To Rule The World,Tears For Fears ,4RvWPyQ5RL0ao9LPZeSouE,251.489,0.795,112.067,1,4,0.535,7
Delicate,Taylor Swift ,6NFyWDv5CjfwuzoCkw47Xf,232.253,0.404,95.045,0,4,0.0499,9
She Had Me At Heads Carolina,Cole Swindell ,200x8ONbPfFzByUr3fVz46,206.107,0.912,134.944,1,4,0.722,8
Santa Claus Is Coming To Town,The Jackson 5 ,2QpN1ZVw8eJO5f7WcvUA1k,144.013,0.762,146.673,1,4,0.961,0
"Baby, It's Cold Outside",Dean Martin ,4MrfQL4TYQXJBlZYpAHTuE,143.733,0.196,130.036,1,3,0.537,0
Hot (Remix),Young Thug ,4ea9w8c4ROqiZpJVhfBA3m,279.907,0.631,111.983,0,4,0.545,7
Vete,Bad Bunny ,2n7ohqg1s68ToAHh4u9mcW,192.024,0.672,91.976,1,4,0.526,1
VALENTINO,24kGoldn ,6piAUJJQFD8oHDUr0b7l7q,179.133,0.717,150.964,0,4,0.523,9
Here With Me,Marshmello ,5icOoE6VgqFKohjWWNp0Ac,156.347,0.565,99.961,0,4,0.181,5
Monëy so big,Yeat ,4Se3fXoHJkcraQzJXo2IYn,160.052,0.575,138.016,1,4,0.353,2
Nights Like This,Kehlani ,6ZRuF2n1CQxyxxAAWsKJOy,201.788,0.725,146.163,1,4,0.291,8
Christmas (Baby Please Come Home),Mariah Carey ,3PIDciSFdrQxSQSihim3hN,153.24,0.782,127.148,1,4,0.704,3
Marry Me,Thomas Rhett ,0OWZFobGSIW9GrSlQ9C5pc,205.453,0.412,85.028,1,4,0.474,3
Homicide,Logic ,7M2tXmeS15NAzEn7ABFeBg,245.387,0.759,140.055,0,4,0.77,10
Little Saint Nick  1991 Remix,The Beach Boys ,5xlS0QkVrSH7ssEbBgBzbM,118.84,0.553,130.594,1,4,0.971,11
Worth It,YK Osiris ,0PQoUlzP7ILdcrzpajHXc0,189.253,0.535,124.008,0,5,0.459,5
love nwantiti (ah ah ah),CKay ,3WCUe89UHsRHlxUUGLvSfj,77.571,0.262,88.956,1,4,0.334,1
For Free,DJ Khaled ,5TqBAOIBe0bQA0spNdcG3k,183.695,0.571,103.521,0,4,0.498,10
Goin Baby,DaBaby ,3WyRgi8CzQnhzO0xw79tTS,141.827,0.772,132.906,1,4,0.678,6
Taking A Walk,Trippie Redd ,6vSRW8utiYAdoCfJG2v86r,121.68,0.526,81.004,0,4,0.323,0
Mr. Right Now,21 Savage ,4Q34FP1AT7GEl9oLgNtiWj,193.839,0.667,172.08,1,4,0.704,5
Tap,NAV ,5rU6kDNXZLXIinFezpbWbO,148.278,0.676,85.018,1,4,0.452,2
Juice,Lizzo ,0k664IuFwVP557Gnx7RhIl,195.145,0.889,119.93,1,4,0.843,7
exile,Taylor Swift ,4pvb0WLRcMtbPGmtejJJ6y,285.634,0.38,75.602,1,4,0.152,6
Rollin,Calvin Harris ,0lMbuWUpfTWhEmOKxppEau,272.653,0.76,91.953,0,4,0.657,6
All My Friends,Snakehips ,6TaqooOXAEcijL6G1AWS2K,229.747,0.521,94.997,1,4,0.181,0
Rather Be,Clean Bandit ,3s4U7OHV7gnj42VV72eSZ6,227.833,0.586,120.97,1,4,0.549,11
Matilda,Harry Styles ,6uvh0In7u1Xn4HgxOfAn8O,245.964,0.294,114.199,1,4,0.386,2
Sorry Not Sorry,Bryson Tiller ,16bHRxM89ue0TiCKARYbRp,200.76,0.608,97.934,1,4,0.262,1
Un Ratito,Bad Bunny ,5CzixCxDkRXX9mScCmah8O,176.936,0.546,93.05,0,4,0.222,0
ily,Surf Mesa ,62aP9fBQKYKxi7PDXwcUAS,176.547,0.774,112.05,0,4,0.33,11
Bad Liar,Selena Gomez ,2fZQIJew3nkNe99s2PKzul,214.648,0.414,121.032,1,4,0.728,1
LUV,Tory Lanez ,16Ah4QqH4mgYVXqfC4mdSd,228.64,0.528,190.169,0,4,0.252,11
Talking to the Moon,Bruno Mars ,161DnLWsx1i3u1JT05lzqU,217.867,0.59,145.867,0,4,0.0784,1
MIDDLE OF THE NIGHT,Elley Duhé ,58HvfVOeJY7lUuCqF0m3ly,184.448,0.611,185.727,0,3,0.0899,4
Please Don't Go,Joel Adams ,3cNjgVBKTJ1SvKhunrCdVy,210.58,0.768,84.264,0,4,0.235,4
Joy To The World,Nat King Cole ,1VuAamHM7P3VQQEXYGG3Uu,84.987,0.337,101.918,1,4,0.662,10
Light Switch,Charlie Puth ,1jEBSDN5vYViJQr78W7jr2,187.704,0.627,184.008,1,4,0.905,6
Reminder,The Weeknd ,37F0uwRSrdzkBiuj0D5UHI,218.88,0.505,160.053,1,4,0.388,8
How Deep Is Your Love,Calvin Harris ,6rMwYjoFvxKiaEH4If8ZpZ,256.56,0.859,127.978,0,4,0.111,11
Smells Like Teen Spirit  Remastered,Nirvana ,5ghIJDpPoe3CfHMGu71E6T,301.92,0.912,116.761,1,4,0.72,1
Worth It,Fifth Harmony ,41Fflg7qHiVOD6dEPvsCzO,224.573,0.765,99.987,1,4,0.594,8
Don't Stop Me Now  Remastered,Queen ,7hQJA50XrCWABAu5v6QZ4i,209.413,0.865,156.271,1,4,0.601,5
Tiimmy Turner,Desiigner ,3NJG6vMH1ZsectZkocMEm0,239.853,0.725,122.803,1,4,0.304,6
Too Many Years,Kodak Black ,7KyTq7H5f3Oavmuo9TX6QK,196.336,0.704,147.067,0,4,0.633,8
FourFiveSeconds,Rihanna ,78TTtXnFQPzwqlbtbwqN0y,188.238,0.272,205.846,1,4,0.354,2
Childs Play,Drake ,3NxAG2ni1lLa8RKL6a0INc,241.4,0.475,80.006,0,4,0.292,10
Galway Girl,Ed Sheeran ,0afhq8XCExXpqazXczTSve,170.827,0.876,99.943,1,4,0.781,9
Nuketown,Ski Mask The Slump God ,74lnM5V6ecvoTPV0fvptx9,166.4,0.617,149.962,0,4,0.632,10
BREAK MY SOUL,Beyoncé ,5pyoxDZ1PX0KxBxiRVxA4U,278.282,0.887,114.942,0,4,0.864,1
Acquainted,The Weeknd ,7uJH0YdSZL6psjxI6Xy08b,348.853,0.478,101.102,0,4,0.254,7
Headshot,Lil Tjay ,4eNOLmx8r2IJAVKvBBL1jv,144.349,0.639,118.0,0,4,0.395,1
enough for you,Olivia Rodrigo ,2TOzTqQXNmR2zDJXihjZ2e,202.827,0.259,88.485,1,4,0.269,7
Like I'm Gonna Lose You,Meghan Trainor ,2YlZnw2ikdb837oKMKjBkW,225.053,0.53,108.038,1,3,0.417,0
Please Me,Cardi B ,0PG9fbaaHFHfre2gUVo7AN,200.89,0.57,133.992,1,4,0.65,1
Scared to Be Lonely,Martin Garrix ,3ebXMykcMXOcLeJ9xZ17XH,220.883,0.54,137.972,0,4,0.195,1
Stick Season,Noah Kahan ,0mflMxspEfB0VbI1kyLiAv,182.347,0.488,117.913,1,4,0.817,9
Watch Me (Whip / Nae Nae),Silentó ,5RIVoVdkDLEygELLCniZFr,185.143,0.759,140.01,1,4,0.962,8
Ghostface Killers,21 Savage ,5u6vkDnOyaf8LsteDAj2ub,268.933,0.435,82.996,1,4,0.242,2
whoa (mind in awe),XXXTENTACION ,7pdF27mSDuPWhppnHAmWHa,157.777,0.525,160.147,0,4,0.369,6
The Bigger Picture,Lil Baby ,44gRhRi2OhEf7moAUj6MD1,252.729,0.618,96.459,1,3,0.153,1
River,Eminem ,1cS0TgbR263ey9jn0MwD2s,221.013,0.749,90.09,0,4,0.659,8
Heart On Ice,Rod Wave ,591ks2A0o7ratTpiRdI7M6,159.67,0.387,157.875,0,3,0.242,10
SO DONE,The Kid LAROI ,5YnxnTS89l3FElIwfIAeSs,126.521,0.598,142.592,1,4,0.303,9
Black & White,Juice WRLD ,60TThBDrPpek5k520l0W0L,294.066,0.599,123.938,0,4,0.173,11
Slow Motion,Trey Songz ,4NYwy0R3NdvORX2B6OZXBT,197.854,0.408,94.947,0,4,0.291,7
Come Get Her,Rae Sremmurd ,1Ser4X0TKttOvo8bgdytTP,212.947,0.564,185.023,1,4,0.123,2
This Could Be Us,Rae Sremmurd ,4jTiyLlOJVJj3mCr7yfPQD,206.307,0.69,143.072,0,4,0.758,0
Everybody,Logic ,7cGFbx7MP0H23iHZTZpqMM,162.347,0.94,110.005,1,4,0.773,1
Cooped Up,Post Malone ,6Ole34qqbgkZ60IyrcVm7e,127.253,0.839,95.485,1,4,0.338,2
Erase Your Social,Lil Uzi Vert ,4uhvMW7ly7tJil31YYscAN,199.993,0.609,140.058,1,4,0.718,3
Let Me Down Slowly,Alec Benjamin ,2qxmye6gAegTMjLKEBoR3d,169.354,0.557,150.073,0,4,0.483,1
Music For a Sushi Restaurant,Harry Styles ,5LYMamLv12UPbemOaTPyeV,193.813,0.715,107.041,1,4,0.357,11
Tear in My Heart,Twenty One Pilots ,3bnVBN67NBEzedqQuWrpP4,188.493,0.632,120.113,1,4,0.447,2
Nevermind,Dennis Lloyd ,63SevszngYpZOwf63o61K4,156.6,0.688,99.977,0,4,0.0793,5
Malibu,Miley Cyrus ,1UZOjK1BwmwWU14Erba9CZ,231.907,0.781,139.934,1,4,0.343,8
All In My Head (Flex),Fifth Harmony ,7nD9nN3jord9wWcfW3Gkcm,210.573,0.791,95.04,0,4,0.755,0
ME!,Taylor Swift ,2Rk4JlNc2TPmZe2af99d45,193.0,0.83,182.162,1,4,0.728,0
Love Me Harder,Ariana Grande ,5J4ZkQpzMUFojo1CtAZYpn,236.133,0.714,98.992,0,4,0.24,1
In My Blood,Shawn Mendes ,2QZ7WLBE8h2y1Y5Fb8RYbH,211.36,0.712,140.025,1,4,0.487,5
Lo Siento BB:/,Tainy ,4JtLrFUg0ff2x9TsXCgx76,206.344,0.703,170.091,0,4,0.139,4
Golden,Harry Styles ,45S5WTQEGOB1VHr1Q4FuPl,208.907,0.838,139.863,0,4,0.254,4
After Hours,The Weeknd ,2p8IUWQDrpjuFltbdgLOag,361.027,0.572,108.959,0,4,0.143,5
Magic In The Hamptons,Social House ,2Yer0p7uB2lVBUAtANuuQp,164.64,0.479,96.051,1,4,0.803,1
Most Girls,Hailee Steinfeld ,10GJQkjRJcZhGTLagFOC62,204.4,0.572,102.986,1,4,0.417,9
Got It On Me,Pop Smoke ,25zlnOAzbVoOzIeXSvQFf1,164.58,0.647,88.834,1,4,0.195,2
Tusa,KAROL G ,7k4t7uLgtOxPwTpFmtJNTY,200.96,0.715,101.085,1,4,0.574,2
Flower Shops,ERNEST ,0De9jFjJ4eRLl7Yww2eBw1,214.405,0.461,128.153,1,3,0.227,7
...Ready For It?,Taylor Swift ,2yLa0QULdQr0qAIvVwN6B5,208.187,0.764,160.015,1,4,0.417,2
Freestyle,Lil Baby ,5BbdKBZO0TH0GhfxUfyhL9,162.053,0.517,119.996,0,4,0.255,2
Locked Away,R. City ,7x5xYW5W42OGPAdHUyyguy,227.48,0.671,118.413,1,5,0.55,1
Shotta Flow,NLE Choppa ,5BJMeoCXXgbRAWfp6fTulr,176.632,0.511,120.077,1,4,0.567,2
Uproar,Lil Wayne ,3wScL5W8H40zzCKN0atfBk,194.184,0.87,99.079,1,4,0.884,1
Crew,GoldLink ,15EPc80XuFrb2LmOzGjuRg,176.702,0.607,129.938,0,4,0.445,1
In The Night,The Weeknd ,25KybV9BOUlvcnv7nN3Pyo,235.653,0.68,168.022,1,3,0.539,7
Leave Before You Love Me,Marshmello ,4qu63nuBpdn0qHUHuObEj1,154.983,0.738,119.976,1,4,0.637,7
I'm Not The Only One,Sam Smith ,7795WJLVKJoAyVoOtCWqXN,239.317,0.485,82.001,1,4,0.493,5
Mona Lisa,Lil Wayne ,0dbTQYW3Ad1FTzIA9t90E8,324.189,0.694,122.08,1,4,0.489,2
Vigilante Shit,Taylor Swift ,1xwAWUI6Dj0WGC3KiUPN0O,164.801,0.277,79.846,0,4,0.163,4
Static,Steve Lacy ,4OmfWzukSVD140NiAIEjem,156.507,0.305,79.001,1,5,0.215,1
All Eyes on You,Meek Mill ,0hy1SOTEn9ifXTzOwnCwEr,223.973,0.658,77.521,0,4,0.251,11
Sign of the Times,Harry Styles ,5Ohxk2dO5COHF1krpoPigN,340.707,0.595,119.972,1,4,0.222,5
Love Myself,Hailee Steinfeld ,36phXHOKx8rO7CMp2vNX4x,218.773,0.759,122.924,0,4,0.324,0
Waves,Kanye West ,3nAq2hCr1oWsIU54tS98pL,181.573,0.586,96.091,1,4,0.0681,10
I Know What You Did Last Summer,Shawn Mendes ,2GyA33q5rti5IxkMQemRDH,223.853,0.761,113.939,0,4,0.743,9
Solid,Young Stoner Life ,6rTInqW3YECMkQsBEHw4sd,215.693,0.485,125.987,0,4,0.328,11
How Long,Charlie Puth ,6wmAHw1szh5RCKSRjiXhPe,200.853,0.561,109.974,0,4,0.811,1
Hollywood's Bleeding,Post Malone ,7sWRlDoTDX8geTR8zzr2vt,156.267,0.646,130.218,0,4,0.17,4
KIKA,6ix9ine ,2gGyUF86bijvQyjcOcJxNw,136.032,0.709,94.618,0,4,0.324,1
Wicked,Future ,6BbINUfGabVyiNFJpQXn3x,173.347,0.679,157.97,0,4,0.205,11
Myself,NAV ,05nbZ1xxVNwUTcGwLbp7CN,226.04,0.398,80.032,0,4,0.0859,5
All of Me,John Legend ,3U4isOIWM3VvDubwSI3y7a,269.56,0.264,119.93,1,4,0.331,8
Apocalypse,Cigarettes After Sex ,0yc6Gst2xkRu0eMLeRMGCX,290.617,0.467,94.485,1,4,0.182,5
Sweetest Pie,Megan Thee Stallion ,7mFj0LlWtEJaEigguaWqYh,201.334,0.628,123.977,1,4,0.677,7
Con Calma,Daddy Yankee ,5w9c2J52mkdntKOmRLeM2m,193.227,0.86,93.989,0,4,0.656,8
Breaking Me,Topic ,3H7ihDc1dqLriiWXwsc2po,166.794,0.72,122.031,0,4,0.664,8
Baby Sitter,DaBaby ,7f1zjZG77S891Uv4O68yfk,157.693,0.73,92.506,1,4,0.394,1
Never Really Over,Katy Perry ,7iX9M4WwEgQpVaicTn8zDy,223.523,0.882,99.991,1,4,0.385,8
Start Wit Me,Roddy Ricch ,7A20WnLkjtZU2d7hIB6Ziu,158.692,0.479,130.029,0,4,0.408,4
My Type,Saweetie ,5KBARWIxeMGkvUax9VtVC9,126.446,0.811,105.038,1,4,0.587,2
she's all i wanna be,Tate McRae ,7l9IqDtVWJurTvkQHq1BGh,207.12,0.626,160.118,0,4,0.619,2
Talking Body,Tove Lo ,2tpfxAXiI52znho4WE3XFA,238.427,0.761,119.999,0,4,0.114,4
HOTEL LOBBY (Unc & Phew),Quavo ,4vVjPTApwXZwB2H3mBq3ml,142.657,0.649,127.978,1,4,0.143,11
