song,artist,track_id,duration_s,energy,tempo,mode,time_signature,valence,key,Energy Levels,Key Signature,Emotional Rating,Position,Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams
Bad Liar,Selena Gomez ,2fZQIJew3nkNe99s2PKzul,214.648,0.414,121.032,1,4,0.728,1,low-medium energy,C#/Db,emotionally positive,871.0,Selena Gomez ,Bad Liar,133.0,2.0,7.0,0,1149683.0,60028652.0
LUV,Tory Lanez ,16Ah4QqH4mgYVXqfC4mdSd,228.64,0.528,190.169,0,4,0.252,11,high-medium energy,B,emotionally negative,872.0,Tory Lanez ,LUV,196.0,0.0,14.0,0,664467.0,60001746.0
Talking to the Moon,Bruno Mars ,161DnLWsx1i3u1JT05lzqU,217.867,0.59,145.867,0,4,0.0784,1,high-medium energy,C#/Db,highly emotionally negative,873.0,Bruno Mars ,Talking to the Moon,242.0,0.0,56.0,0,341216.0,59926571.0
MIDDLE OF THE NIGHT,Elley Duhé ,58HvfVOeJY7lUuCqF0m3ly,184.448,0.611,185.727,0,3,0.0899,4,high-medium energy,E,highly emotionally negative,874.0,Elley Duhé ,MIDDLE OF THE NIGHT,180.0,0.0,32.0,0,436972.0,59878312.0
Please Don't Go,Joel Adams ,3cNjgVBKTJ1SvKhunrCdVy,210.58,0.768,84.264,0,4,0.235,4,high-energy,E,highly emotionally negative,875.0,Joel Adams ,Please Don't Go,182.0,0.0,29.0,0,463865.0,59849309.0
Joy To The World,Nat King Cole ,1VuAamHM7P3VQQEXYGG3Uu,84.987,0.337,101.918,1,4,0.662,10,low-medium energy,A#/Bb,emotionally positive,876.0,Nat King Cole ,Joy To The World,157.0,0.0,28.0,0,1465869.0,59827161.0
Light Switch,Charlie Puth ,1jEBSDN5vYViJQr78W7jr2,187.704,0.627,184.008,1,4,0.905,6,high-medium energy,F#/Gb,highly emotionally positive,877.0,Charlie Puth ,Light Switch,180.0,2.0,6.0,0,859606.0,59716970.0
Reminder,The Weeknd ,37F0uwRSrdzkBiuj0D5UHI,218.88,0.505,160.053,1,4,0.388,8,high-medium energy,G#/Ab,emotionally negative,878.0,The Weeknd ,Reminder,245.0,7.0,9.0,0,895385.0,59620662.0
How Deep Is Your Love,Calvin Harris ,6rMwYjoFvxKiaEH4If8ZpZ,256.56,0.859,127.978,0,4,0.111,11,high-energy,B,highly emotionally negative,879.0,Calvin Harris ,How Deep Is Your Love,271.0,0.0,19.0,0,396175.0,59463594.0
Smells Like Teen Spirit  Remastered,Nirvana ,5ghIJDpPoe3CfHMGu71E6T,301.92,0.912,116.761,1,4,0.72,1,high-energy,C#/Db,emotionally positive,880.0,Nirvana ,Smells Like Teen Spirit  Remastered,247.0,0.0,116.0,0,281143.0,59317872.0
Worth It,Fifth Harmony ,41Fflg7qHiVOD6dEPvsCzO,224.573,0.765,99.987,1,4,0.594,8,high-energy,G#/Ab,emotionally positive,881.0,Fifth Harmony ,Worth It,300.0,0.0,13.0,0,391863.0,59256843.0
Don't Stop Me Now  Remastered,Queen ,7hQJA50XrCWABAu5v6QZ4i,209.413,0.865,156.271,1,4,0.601,5,high-energy,F,emotionally positive,882.0,Queen ,Don't Stop Me Now  Remastered,242.0,0.0,60.0,0,354346.0,59228501.0
Tiimmy Turner,Desiigner ,3NJG6vMH1ZsectZkocMEm0,239.853,0.725,122.803,1,4,0.304,6,high-medium energy,F#/Gb,emotionally negative,883.0,Desiigner ,Tiimmy Turner,189.0,0.0,20.0,0,555851.0,59015382.0
Too Many Years,Kodak Black ,7KyTq7H5f3Oavmuo9TX6QK,196.336,0.704,147.067,0,4,0.633,8,high-medium energy,G#/Ab,emotionally positive,884.0,Kodak Black ,Too Many Years,273.0,0.0,61.0,0,308283.0,59001162.0
FourFiveSeconds,Rihanna ,78TTtXnFQPzwqlbtbwqN0y,188.238,0.272,205.846,1,4,0.354,2,low-medium energy,D,emotionally negative,885.0,Rihanna ,FourFiveSeconds,353.0,24.0,4.0,0,624581.0,58968144.0
Childs Play,Drake ,3NxAG2ni1lLa8RKL6a0INc,241.4,0.475,80.006,0,4,0.292,10,low-medium energy,A#/Bb,emotionally negative,886.0,Drake ,Childs Play,239.0,0.0,22.0,0,591382.0,58873542.0
Galway Girl,Ed Sheeran ,0afhq8XCExXpqazXczTSve,170.827,0.876,99.943,1,4,0.781,9,high-energy,A,highly emotionally positive,887.0,Ed Sheeran ,Galway Girl,169.0,8.0,2.0,(x1),1192214.0,58839949.0
Nuketown,Ski Mask The Slump God ,74lnM5V6ecvoTPV0fvptx9,166.4,0.617,149.962,0,4,0.632,10,high-medium energy,A#/Bb,emotionally positive,888.0,Ski Mask The Slump God ,Nuketown,147.0,0.0,13.0,0,990451.0,58800265.0
BREAK MY SOUL,Beyoncé ,5pyoxDZ1PX0KxBxiRVxA4U,278.282,0.887,114.942,0,4,0.864,1,high-energy,C#/Db,highly emotionally positive,889.0,Beyoncé ,BREAK MY SOUL,115.0,15.0,2.0,(x2),1990829.0,58766150.0
Acquainted,The Weeknd ,7uJH0YdSZL6psjxI6Xy08b,348.853,0.478,101.102,0,4,0.254,7,low-medium energy,G,emotionally negative,890.0,The Weeknd ,Acquainted,407.0,0.0,13.0,0,437153.0,58655818.0
Headshot,Lil Tjay ,4eNOLmx8r2IJAVKvBBL1jv,144.349,0.639,118.0,0,4,0.395,1,high-medium energy,C#/Db,emotionally negative,891.0,Lil Tjay ,Headshot,147.0,0.0,17.0,0,744087.0,58609240.0
enough for you,Olivia Rodrigo ,2TOzTqQXNmR2zDJXihjZ2e,202.827,0.259,88.485,1,4,0.269,7,low-medium energy,G,emotionally negative,892.0,Olivia Rodrigo ,enough for you,105.0,14.0,5.0,0,2366217.0,58572337.0
Like I'm Gonna Lose You,Meghan Trainor ,2YlZnw2ikdb837oKMKjBkW,225.053,0.53,108.038,1,3,0.417,0,high-medium energy,C,emotionally negative,893.0,Meghan Trainor ,Like I'm Gonna Lose You,297.0,0.0,17.0,0,391599.0,58460209.0
Please Me,Cardi B ,0PG9fbaaHFHfre2gUVo7AN,200.89,0.57,133.992,1,4,0.65,1,high-medium energy,C#/Db,emotionally positive,894.0,Cardi B ,Please Me,131.0,1.0,10.0,0,1339719.0,58439781.0
Scared to Be Lonely,Martin Garrix ,3ebXMykcMXOcLeJ9xZ17XH,220.883,0.54,137.972,0,4,0.195,1,high-medium energy,C#/Db,highly emotionally negative,895.0,Martin Garrix ,Scared to Be Lonely,153.0,0.0,17.0,0,617137.0,58399197.0
Stick Season,Noah Kahan ,0mflMxspEfB0VbI1kyLiAv,182.347,0.488,117.913,1,4,0.817,9,low-medium energy,A,highly emotionally positive,896.0,Noah Kahan ,Stick Season,168.0,0.0,33.0,0,484740.0,58383443.0
Watch Me (Whip / Nae Nae),Silentó ,5RIVoVdkDLEygELLCniZFr,185.143,0.759,140.01,1,4,0.962,8,high-energy,G#/Ab,highly emotionally positive,897.0,Silentó ,Watch Me (Whip / Nae Nae),242.0,22.0,8.0,0,475998.0,58353609.0
Ghostface Killers,21 Savage ,5u6vkDnOyaf8LsteDAj2ub,268.933,0.435,82.996,1,4,0.242,2,low-medium energy,D,highly emotionally negative,898.0,21 Savage ,Ghostface Killers,142.0,7.0,2.0,(x1),1268794.0,58263736.0
whoa (mind in awe),XXXTENTACION ,7pdF27mSDuPWhppnHAmWHa,157.777,0.525,160.147,0,4,0.369,6,high-medium energy,F#/Gb,emotionally negative,899.0,XXXTENTACION ,whoa (mind in awe),114.0,8.0,1.0,(x1),2064041.0,58262282.0
The Bigger Picture,Lil Baby ,44gRhRi2OhEf7moAUj6MD1,252.729,0.618,96.459,1,3,0.153,1,high-medium energy,C#/Db,highly emotionally negative,900.0,Lil Baby ,The Bigger Picture,130.0,14.0,3.0,(x3),1140438.0,58137365.0
River,Eminem ,1cS0TgbR263ey9jn0MwD2s,221.013,0.749,90.09,0,4,0.659,8,high-medium energy,G#/Ab,emotionally positive,901.0,Eminem ,River,121.0,7.0,2.0,(x4),1167659.0,58089002.0
Heart On Ice,Rod Wave ,591ks2A0o7ratTpiRdI7M6,159.67,0.387,157.875,0,3,0.242,10,low-medium energy,A#/Bb,highly emotionally negative,902.0,Rod Wave ,Heart On Ice,211.0,0.0,48.0,0,424562.0,58076050.0
SO DONE,The Kid LAROI ,5YnxnTS89l3FElIwfIAeSs,126.521,0.598,142.592,1,4,0.303,9,high-medium energy,A,emotionally negative,903.0,The Kid LAROI ,SO DONE,158.0,0.0,12.0,0,710839.0,58029449.0
Black & White,Juice WRLD ,60TThBDrPpek5k520l0W0L,294.066,0.599,123.938,0,4,0.173,11,high-medium energy,B,highly emotionally negative,904.0,Juice WRLD ,Black & White,242.0,0.0,24.0,0,686852.0,58028285.0
Slow Motion,Trey Songz ,4NYwy0R3NdvORX2B6OZXBT,197.854,0.408,94.947,0,4,0.291,7,low-medium energy,G,emotionally negative,905.0,Trey Songz ,Slow Motion,367.0,0.0,16.0,0,366481.0,58002051.0
Come Get Her,Rae Sremmurd ,1Ser4X0TKttOvo8bgdytTP,212.947,0.564,185.023,1,4,0.123,2,high-medium energy,D,highly emotionally negative,906.0,Rae Sremmurd ,Come Get Her,379.0,0.0,34.0,0,278853.0,57995873.0
This Could Be Us,Rae Sremmurd ,4jTiyLlOJVJj3mCr7yfPQD,206.307,0.69,143.072,0,4,0.758,0,high-medium energy,C,highly emotionally positive,907.0,Rae Sremmurd ,This Could Be Us,339.0,0.0,20.0,0,371328.0,57990446.0
Everybody,Logic ,7cGFbx7MP0H23iHZTZpqMM,162.347,0.94,110.005,1,4,0.773,1,high-energy,C#/Db,highly emotionally positive,908.0,Logic ,Everybody,212.0,0.0,17.0,0,902208.0,57990129.0
Cooped Up,Post Malone ,6Ole34qqbgkZ60IyrcVm7e,127.253,0.839,95.485,1,4,0.338,2,high-energy,D,emotionally negative,909.0,Post Malone ,Cooped Up,108.0,7.0,4.0,0,1692613.0,57988999.0
Erase Your Social,Lil Uzi Vert ,4uhvMW7ly7tJil31YYscAN,199.993,0.609,140.058,1,4,0.718,3,high-medium energy,D#/Eb,emotionally positive,910.0,Lil Uzi Vert ,Erase Your Social,268.0,0.0,52.0,0,298133.0,57980501.0
Let Me Down Slowly,Alec Benjamin ,2qxmye6gAegTMjLKEBoR3d,169.354,0.557,150.073,0,4,0.483,1,high-medium energy,C#/Db,emotionally negative,911.0,Alec Benjamin ,Let Me Down Slowly,161.0,0.0,33.0,0,594243.0,57970760.0
Music For a Sushi Restaurant,Harry Styles ,5LYMamLv12UPbemOaTPyeV,193.813,0.715,107.041,1,4,0.357,11,high-medium energy,B,emotionally negative,912.0,Harry Styles ,Music For a Sushi Restaurant,114.0,14.0,3.0,(x3),3399921.0,57916775.0
Tear in My Heart,Twenty One Pilots ,3bnVBN67NBEzedqQuWrpP4,188.493,0.632,120.113,1,4,0.447,2,high-medium energy,D,emotionally negative,913.0,Twenty One Pilots ,Tear in My Heart,477.0,0.0,53.0,0,176115.0,57900229.0
Nevermind,Dennis Lloyd ,63SevszngYpZOwf63o61K4,156.6,0.688,99.977,0,4,0.0793,5,high-medium energy,F,highly emotionally negative,914.0,Dennis Lloyd ,Nevermind,177.0,0.0,31.0,0,618929.0,57848143.0
Malibu,Miley Cyrus ,1UZOjK1BwmwWU14Erba9CZ,231.907,0.781,139.934,1,4,0.343,8,high-energy,G#/Ab,emotionally negative,915.0,Miley Cyrus ,Malibu,144.0,9.0,7.0,0,1192630.0,57775138.0
All In My Head (Flex),Fifth Harmony ,7nD9nN3jord9wWcfW3Gkcm,210.573,0.791,95.04,0,4,0.755,0,high-energy,C,highly emotionally positive,916.0,Fifth Harmony ,All In My Head (Flex),160.0,0.0,23.0,0,523697.0,57664256.0
ME!,Taylor Swift ,2Rk4JlNc2TPmZe2af99d45,193.0,0.83,182.162,1,4,0.728,0,high-energy,C,emotionally positive,917.0,Taylor Swift ,ME!,158.0,0.0,19.0,0,1104555.0,57391669.0
ME!,Taylor Swift ,2Rk4JlNc2TPmZe2af99d45,193.0,0.83,182.162,1,4,0.728,0,high-energy,C,emotionally positive,1562.0,Taylor Swift ,ME!,24.0,19.0,1.0,(x3),3578756.0,29380101.0
Love Me Harder,Ariana Grande ,5J4ZkQpzMUFojo1CtAZYpn,236.133,0.714,98.992,0,4,0.24,1,high-medium energy,C#/Db,highly emotionally negative,918.0,Ariana Grande ,Love Me Harder,278.0,78.0,2.0,(x8),391481.0,57285175.0
In My Blood,Shawn Mendes ,2QZ7WLBE8h2y1Y5Fb8RYbH,211.36,0.712,140.025,1,4,0.487,5,high-medium energy,F,emotionally negative,919.0,Shawn Mendes ,In My Blood,141.0,2.0,5.0,0,1242334.0,57174877.0
Lo Siento BB:/,Tainy ,4JtLrFUg0ff2x9TsXCgx76,206.344,0.703,170.091,0,4,0.139,4,high-medium energy,E,highly emotionally negative,920.0,Tainy ,Lo Siento BB:/,199.0,1.0,9.0,0,761684.0,57135915.0
Golden,Harry Styles ,45S5WTQEGOB1VHr1Q4FuPl,208.907,0.838,139.863,0,4,0.254,4,high-energy,E,emotionally negative,921.0,Harry Styles ,Golden,201.0,1.0,6.0,0,1403497.0,57121273.0
After Hours,The Weeknd ,2p8IUWQDrpjuFltbdgLOag,361.027,0.572,108.959,0,4,0.143,5,high-medium energy,F,highly emotionally negative,922.0,The Weeknd ,After Hours,102.0,16.0,2.0,(x7),2309285.0,57062099.0
Magic In The Hamptons,Social House ,2Yer0p7uB2lVBUAtANuuQp,164.64,0.479,96.051,1,4,0.803,1,low-medium energy,C#/Db,highly emotionally positive,923.0,Social House ,Magic In The Hamptons,220.0,0.0,76.0,0,382674.0,57010632.0
Most Girls,Hailee Steinfeld ,10GJQkjRJcZhGTLagFOC62,204.4,0.572,102.986,1,4,0.417,9,high-medium energy,A,emotionally negative,924.0,Hailee Steinfeld ,Most Girls,209.0,0.0,51.0,0,478067.0,56922479.0
Got It On Me,Pop Smoke ,25zlnOAzbVoOzIeXSvQFf1,164.58,0.647,88.834,1,4,0.195,2,high-medium energy,D,highly emotionally negative,925.0,Pop Smoke ,Got It On Me,144.0,0.0,14.0,0,772282.0,56866811.0
Tusa,KAROL G ,7k4t7uLgtOxPwTpFmtJNTY,200.96,0.715,101.085,1,4,0.574,2,high-medium energy,D,emotionally positive,926.0,KAROL G ,Tusa,159.0,0.0,34.0,0,621631.0,56824409.0
Flower Shops,ERNEST ,0De9jFjJ4eRLl7Yww2eBw1,214.405,0.461,128.153,1,3,0.227,7,low-medium energy,G,highly emotionally negative,927.0,ERNEST ,Flower Shops,214.0,0.0,34.0,0,420148.0,56799282.0
...Ready For It?,Taylor Swift ,2yLa0QULdQr0qAIvVwN6B5,208.187,0.764,160.015,1,4,0.417,2,high-energy,D,emotionally negative,928.0,Taylor Swift ,...Ready For It?,144.0,8.0,1.0,(x2),1597419.0,56613807.0
Freestyle,Lil Baby ,5BbdKBZO0TH0GhfxUfyhL9,162.053,0.517,119.996,0,4,0.255,2,high-medium energy,D,emotionally negative,929.0,Lil Baby ,Freestyle,195.0,0.0,51.0,0,400272.0,56582499.0
Locked Away,R. City ,7x5xYW5W42OGPAdHUyyguy,227.48,0.671,118.413,1,5,0.55,1,high-medium energy,C#/Db,emotionally positive,930.0,R. City ,Locked Away,220.0,10.0,8.0,0,465664.0,56578381.0
Shotta Flow,NLE Choppa ,5BJMeoCXXgbRAWfp6fTulr,176.632,0.511,120.077,1,4,0.567,2,high-medium energy,D,emotionally positive,931.0,NLE Choppa ,Shotta Flow,172.0,0.0,43.0,0,485102.0,56536653.0
Shotta Flow,NLE Choppa ,5BJMeoCXXgbRAWfp6fTulr,176.632,0.511,120.077,1,4,0.567,2,high-medium energy,D,emotionally positive,3076.0,NLE Choppa ,Shotta Flow,34.0,0.0,127.0,0,322028.0,8655600.0
Uproar,Lil Wayne ,3wScL5W8H40zzCKN0atfBk,194.184,0.87,99.079,1,4,0.884,1,high-energy,C#/Db,highly emotionally positive,932.0,Lil Wayne ,Uproar,134.0,6.0,3.0,(x1),3113147.0,56468238.0
Crew,GoldLink ,15EPc80XuFrb2LmOzGjuRg,176.702,0.607,129.938,0,4,0.445,1,high-medium energy,C#/Db,emotionally negative,933.0,GoldLink ,Crew,263.0,0.0,103.0,0,267875.0,56458549.0
In The Night,The Weeknd ,25KybV9BOUlvcnv7nN3Pyo,235.653,0.68,168.022,1,3,0.539,7,high-medium energy,G,emotionally positive,934.0,The Weeknd ,In The Night,230.0,0.0,17.0,0,448766.0,56444533.0
Leave Before You Love Me,Marshmello ,4qu63nuBpdn0qHUHuObEj1,154.983,0.738,119.976,1,4,0.637,7,high-medium energy,G,emotionally positive,935.0,Marshmello ,Leave Before You Love Me,170.0,0.0,43.0,0,449891.0,56427745.0
I'm Not The Only One,Sam Smith ,7795WJLVKJoAyVoOtCWqXN,239.317,0.485,82.001,1,4,0.493,5,low-medium energy,F,emotionally negative,936.0,Sam Smith ,I'm Not The Only One,167.0,124.0,2.0,(x16),488205.0,56402815.0
I'm Not The Only One,Sam Smith ,7795WJLVKJoAyVoOtCWqXN,239.317,0.485,82.001,1,4,0.493,5,low-medium energy,F,emotionally negative,1612.0,Sam Smith ,I'm Not The Only One,223.0,0.0,18.0,0,232226.0,28188250.0
Mona Lisa,Lil Wayne ,0dbTQYW3Ad1FTzIA9t90E8,324.189,0.694,122.08,1,4,0.489,2,high-medium energy,D,emotionally negative,937.0,Lil Wayne ,Mona Lisa,85.0,14.0,1.0,(x7),4444027.0,56354529.0
Vigilante Shit,Taylor Swift ,1xwAWUI6Dj0WGC3KiUPN0O,164.801,0.277,79.846,0,4,0.163,4,low-medium energy,E,highly emotionally negative,938.0,Taylor Swift ,Vigilante Shit,56.0,11.0,7.0,0,5696233.0,56313777.0
Static,Steve Lacy ,4OmfWzukSVD140NiAIEjem,156.507,0.305,79.001,1,5,0.215,1,low-medium energy,C#/Db,highly emotionally negative,939.0,Steve Lacy ,Static,131.0,0.0,22.0,0,593606.0,56250712.0
All Eyes on You,Meek Mill ,0hy1SOTEn9ifXTzOwnCwEr,223.973,0.658,77.521,0,4,0.251,11,high-medium energy,B,emotionally negative,940.0,Meek Mill ,All Eyes on You,258.0,0.0,11.0,0,448477.0,56247567.0
Sign of the Times,Harry Styles ,5Ohxk2dO5COHF1krpoPigN,340.707,0.595,119.972,1,4,0.222,5,high-medium energy,F,highly emotionally negative,941.0,Harry Styles ,Sign of the Times,141.0,0.0,17.0,0,918584.0,56208852.0
Love Myself,Hailee Steinfeld ,36phXHOKx8rO7CMp2vNX4x,218.773,0.759,122.924,0,4,0.324,0,high-energy,C,emotionally negative,942.0,Hailee Steinfeld ,Love Myself,227.0,0.0,14.0,0,424056.0,56086741.0
Waves,Kanye West ,3nAq2hCr1oWsIU54tS98pL,181.573,0.586,96.091,1,4,0.0681,10,high-medium energy,A#/Bb,highly emotionally negative,943.0,Kanye West ,Waves,252.0,0.0,14.0,0,587368.0,55997889.0
I Know What You Did Last Summer,Shawn Mendes ,2GyA33q5rti5IxkMQemRDH,223.853,0.761,113.939,0,4,0.743,9,high-energy,A,emotionally positive,944.0,Shawn Mendes ,I Know What You Did Last Summer,178.0,0.0,12.0,0,500452.0,55906852.0
Solid,Young Stoner Life ,6rTInqW3YECMkQsBEHw4sd,215.693,0.485,125.987,0,4,0.328,11,low-medium energy,B,emotionally negative,945.0,Young Stoner Life ,Solid,131.0,6.0,3.0,(x1),1643152.0,55875922.0
How Long,Charlie Puth ,6wmAHw1szh5RCKSRjiXhPe,200.853,0.561,109.974,0,4,0.811,1,high-medium energy,C#/Db,highly emotionally positive,946.0,Charlie Puth ,How Long,163.0,0.0,36.0,0,552498.0,55860013.0
How Long,Charlie Puth ,6wmAHw1szh5RCKSRjiXhPe,200.853,0.561,109.974,0,4,0.811,1,high-medium energy,C#/Db,highly emotionally positive,6913.0,Charlie Puth ,How Long,2.0,0.0,55.0,0,404601.0,801879.0
Hollywood's Bleeding,Post Malone ,7sWRlDoTDX8geTR8zzr2vt,156.267,0.646,130.218,0,4,0.17,4,high-medium energy,E,highly emotionally negative,947.0,Post Malone ,Hollywood's Bleeding,102.0,14.0,4.0,0,3027413.0,55584164.0
KIKA,6ix9ine ,2gGyUF86bijvQyjcOcJxNw,136.032,0.709,94.618,0,4,0.324,1,high-medium energy,C#/Db,emotionally negative,948.0,6ix9ine ,KIKA,123.0,7.0,2.0,(x1),1616022.0,55520510.0
Wicked,Future ,6BbINUfGabVyiNFJpQXn3x,173.347,0.679,157.97,0,4,0.205,11,high-medium energy,B,highly emotionally negative,949.0,Future ,Wicked,218.0,0.0,32.0,0,407393.0,55381955.0
Myself,NAV ,05nbZ1xxVNwUTcGwLbp7CN,226.04,0.398,80.032,0,4,0.0859,5,low-medium energy,F,highly emotionally negative,950.0,NAV ,Myself,265.0,0.0,90.0,0,278370.0,55379514.0
All of Me,John Legend ,3U4isOIWM3VvDubwSI3y7a,269.56,0.264,119.93,1,4,0.331,8,low-medium energy,G#/Ab,emotionally negative,951.0,John Legend ,All of Me,478.0,0.0,28.0,0,247616.0,55369178.0
Apocalypse,Cigarettes After Sex ,0yc6Gst2xkRu0eMLeRMGCX,290.617,0.467,94.485,1,4,0.182,5,low-medium energy,F,highly emotionally negative,952.0,Cigarettes After Sex ,Apocalypse,170.0,0.0,42.0,0,402317.0,55292647.0
Sweetest Pie,Megan Thee Stallion ,7mFj0LlWtEJaEigguaWqYh,201.334,0.628,123.977,1,4,0.677,7,high-medium energy,G,emotionally positive,953.0,Megan Thee Stallion ,Sweetest Pie,169.0,6.0,2.0,(x1),936045.0,55276845.0
Con Calma,Daddy Yankee ,5w9c2J52mkdntKOmRLeM2m,193.227,0.86,93.989,0,4,0.656,8,high-energy,G#/Ab,emotionally positive,954.0,Daddy Yankee ,Con Calma,175.0,0.0,43.0,0,524382.0,55166149.0
Breaking Me,Topic ,3H7ihDc1dqLriiWXwsc2po,166.794,0.72,122.031,0,4,0.664,8,high-medium energy,G#/Ab,emotionally positive,955.0,Topic ,Breaking Me,176.0,0.0,46.0,0,436346.0,55109344.0
Baby Sitter,DaBaby ,7f1zjZG77S891Uv4O68yfk,157.693,0.73,92.506,1,4,0.394,1,high-medium energy,C#/Db,emotionally negative,956.0,DaBaby ,Baby Sitter,182.0,0.0,55.0,0,414755.0,55095664.0
Never Really Over,Katy Perry ,7iX9M4WwEgQpVaicTn8zDy,223.523,0.882,99.991,1,4,0.385,8,high-energy,G#/Ab,emotionally negative,957.0,Katy Perry ,Never Really Over,126.0,1.0,10.0,0,1027556.0,55067804.0
Start Wit Me,Roddy Ricch ,7A20WnLkjtZU2d7hIB6Ziu,158.692,0.479,130.029,0,4,0.408,4,low-medium energy,E,emotionally negative,958.0,Roddy Ricch ,Start Wit Me,148.0,0.0,41.0,0,571755.0,55018380.0
My Type,Saweetie ,5KBARWIxeMGkvUax9VtVC9,126.446,0.811,105.038,1,4,0.587,2,high-energy,D,emotionally positive,959.0,Saweetie ,My Type,175.0,0.0,43.0,0,465578.0,55014809.0
she's all i wanna be,Tate McRae ,7l9IqDtVWJurTvkQHq1BGh,207.12,0.626,160.118,0,4,0.619,2,high-medium energy,D,emotionally positive,960.0,Tate McRae ,she's all i wanna be,163.0,1.0,10.0,0,716119.0,54992060.0
Talking Body,Tove Lo ,2tpfxAXiI52znho4WE3XFA,238.427,0.761,119.999,0,4,0.114,4,high-energy,E,highly emotionally negative,961.0,Tove Lo ,Talking Body,260.0,4.0,8.0,0,470463.0,54890193.0
HOTEL LOBBY (Unc & Phew),Quavo ,4vVjPTApwXZwB2H3mBq3ml,142.657,0.649,127.978,1,4,0.143,11,high-medium energy,B,highly emotionally negative,962.0,Quavo ,HOTEL LOBBY (Unc & Phew),164.0,0.0,41.0,0,555956.0,54850356.0
REEL IT IN,Aminé ,5qHirGR7M9tdm6C17DlzSY,121.347,0.342,128.981,0,4,0.423,10,low-medium energy,A#/Bb,emotionally negative,963.0,Aminé ,REEL IT IN,160.0,0.0,37.0,0,554869.0,54739294.0
REEL IT IN,Aminé ,5qHirGR7M9tdm6C17DlzSY,121.347,0.342,128.981,0,4,0.423,10,low-medium energy,A#/Bb,emotionally negative,6826.0,Aminé ,REEL IT IN,4.0,0.0,168.0,0,218393.0,849504.0
GREECE,DJ Khaled ,35RJhm1pEovTBwnNR0zWad,218.902,0.343,85.84,1,4,0.229,5,low-medium energy,F,highly emotionally negative,964.0,DJ Khaled ,GREECE,127.0,2.0,9.0,0,1081321.0,54717916.0
august,Taylor Swift ,3hUxzQpSfdDqwM3ZTFQY0K,261.923,0.623,89.937,1,4,0.403,5,high-medium energy,F,emotionally negative,965.0,Taylor Swift ,august,146.0,7.0,6.0,0,2840040.0,54625767.0
pov,Ariana Grande ,3UoULw70kMsiVXxW0L3A33,201.882,0.534,131.798,0,4,0.173,0,high-medium energy,C,highly emotionally negative,966.0,Ariana Grande ,pov,119.0,11.0,6.0,0,1537730.0,54533829.0
The Ocean,Mike Perry ,2CPqh63wRVscbceKcPxwvv,183.414,0.575,90.037,1,4,0.188,5,high-medium energy,F,highly emotionally negative,967.0,Mike Perry ,The Ocean,166.0,0.0,35.0,0,451353.0,54469375.0
Girls in the Hood,Megan Thee Stallion ,7yiSvALPjMrBLDDrbcDRNy,154.389,0.816,179.974,1,4,0.797,6,high-energy,F#/Gb,highly emotionally positive,968.0,Megan Thee Stallion ,Girls in the Hood,182.0,0.0,23.0,0,576312.0,54466651.0
HONEST,Baby Keem ,58k32my5lKofeZRtIvBDg9,172.672,0.536,79.037,1,4,0.373,2,high-medium energy,D,emotionally negative,969.0,Baby Keem ,HONEST,151.0,0.0,30.0,0,447259.0,54102820.0
Faded,Alan Walker ,698ItKASDavgwZ3WjaWjtz,212.107,0.627,179.642,1,4,0.159,6,high-medium energy,F#/Gb,highly emotionally negative,970.0,Alan Walker ,Faded,245.0,0.0,38.0,0,326390.0,54100218.0
Moonwalking in Calabasas,DDG ,73xjJ1TIE6WP3HNKczQE4F,170.233,0.322,129.957,0,4,0.712,11,low-medium energy,B,emotionally positive,971.0,DDG ,Moonwalking in Calabasas,177.0,0.0,36.0,0,495420.0,54093363.0
She Knows,J. Cole ,0Fs9cdPDhptWEDJmiCbkEW,296.52,0.74,118.008,1,4,0.183,1,high-medium energy,C#/Db,highly emotionally negative,972.0,J. Cole ,She Knows,218.0,0.0,69.0,0,323664.0,54059288.0
Alien Blues,Vundabar ,11iIikXxC6NP0Ma8vMD27x,155.933,0.757,82.282,1,4,0.433,3,high-energy,D#/Eb,emotionally negative,973.0,Vundabar ,Alien Blues,172.0,0.0,27.0,0,461330.0,54041374.0
all the good girls go to hell,Billie Eilish ,6IRdLKIyS4p7XNiP8r6rsx,168.84,0.444,185.044,0,4,0.569,8,low-medium energy,G#/Ab,emotionally positive,974.0,Billie Eilish ,all the good girls go to hell,151.0,5.0,3.0,(x1),1817790.0,53993006.0
My Universe,Coldplay ,3FeVmId7tL5YN8B7R3imoM,228.0,0.701,104.988,1,4,0.443,9,high-medium energy,A,emotionally negative,975.0,Coldplay ,My Universe,165.0,1.0,8.0,0,946374.0,53947652.0
GOOBA,6ix9ine ,2zvDnNLW4yZ4a0YcGiOEBX,132.303,0.688,178.462,1,4,0.393,1,high-medium energy,C#/Db,emotionally negative,976.0,6ix9ine ,GOOBA,112.0,12.0,3.0,(x4),1512145.0,53917148.0
3005,Childish Gambino ,5cc9Zbfp9u10sfJeKZ3h16,234.215,0.447,83.138,0,4,0.659,6,low-medium energy,F#/Gb,emotionally positive,977.0,Childish Gambino ,3005,547.0,0.0,37.0,0,253876.0,53853351.0
