song,artist,track_id,duration_s,energy,tempo,mode,time_signature,valence,key,Energy Levels,Key Signature,Emotional Rating,Position,Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams
Enemy,Imagine Dragons ,3CIyK1V4JEJkg02E4EJnDl,173.381,0.783,77.011,0,4,0.555,11,high-energy,B,emotionally positive,1011.0,Imagine Dragons ,Enemy,95.0,16.0,8.0,0,665972.0,50995955.0
It's Beginning to Look a Lot Like Christmas,Perry Como ,2pXpURmn6zC5ZYDMms6fwa,155.933,0.276,112.874,1,4,0.718,7,low-medium energy,G,emotionally positive,525.0,Perry Como ,It's Beginning to Look a Lot Like Christmas,206.0,0.0,13.0,0,2240797.0,100817505.0
Savage Remix,Megan Thee Stallion ,5v4GgrXPMghOnBBLmveLac,242.001,0.743,84.459,0,4,0.636,10,high-medium energy,A#/Bb,emotionally positive,526.0,Megan Thee Stallion ,Savage Remix,196.0,30.0,2.0,(x1),1772566.0,100761690.0
Sunroof,Nicky Youre ,5YqEzk3C5c3UZ1D5fJUlXA,163.026,0.714,131.443,1,4,0.842,10,high-medium energy,A#/Bb,highly emotionally positive,527.0,Nicky Youre ,Sunroof,238.0,0.0,19.0,0,642413.0,100753638.0
Pop Style,Drake ,5mPSyjLatqB00IkPqRlbTE,212.947,0.462,133.053,1,4,0.0594,7,low-medium energy,G,highly emotionally negative,528.0,Drake ,Pop Style,280.0,22.0,3.0,(x10),1144421.0,100358319.0
Pop Style,Drake ,5mPSyjLatqB00IkPqRlbTE,212.947,0.462,133.053,1,4,0.0594,7,low-medium energy,G,highly emotionally negative,1747.0,Drake ,Pop Style,31.0,31.0,3.0,(x3),1074841.0,24766383.0
Pop Style,Drake ,5mPSyjLatqB00IkPqRlbTE,212.947,0.462,133.053,1,4,0.0594,7,low-medium energy,G,highly emotionally negative,4810.0,Drake ,Pop Style,4.0,2.0,7.0,0,846213.0,2517650.0
Back To Back,Drake ,5lFDtgWsjRJu8fPOAyJIAK,170.638,0.48,86.976,0,4,0.382,1,low-medium energy,C#/Db,emotionally negative,529.0,Drake ,Back To Back,410.0,5.0,10.0,0,437503.0,100323465.0
Wolves,Selena Gomez ,0tBbt8CrmxbjRP0pueQkyU,197.993,0.804,124.987,0,4,0.306,11,high-energy,B,emotionally negative,530.0,Selena Gomez ,Wolves,212.0,9.0,3.0,(x1),1274551.0,100276358.0
Shut Up and Dance,WALK THE MOON ,4kbj5MwxO1bq9wjT5g9HaA,199.08,0.866,128.038,1,4,0.619,1,high-energy,C#/Db,emotionally positive,531.0,WALK THE MOON ,Shut Up and Dance,480.0,49.0,5.0,0,499657.0,100209488.0
I Don't Fuck With You,Big Sean ,7FYH5AW3bVfZHJIQpq3UOA,284.387,0.733,97.972,1,4,0.395,1,high-medium energy,C#/Db,emotionally negative,532.0,Big Sean ,I Don't Fuck With You,532.0,91.0,2.0,(x5),422959.0,99659160.0
The Night We Met,Lord Huron ,0QZ5yyl6B6utIWkxeBDxQN,208.212,0.366,86.997,1,3,0.1,2,low-medium energy,D,highly emotionally negative,533.0,Lord Huron ,The Night We Met,405.0,0.0,43.0,0,513171.0,99390592.0
the remedy for a broken heart (why am I so in love),XXXTENTACION ,4UKCKdYiLN6IMA5ZESUTL7,160.184,0.304,119.705,1,4,0.271,1,low-medium energy,C#/Db,emotionally negative,534.0,XXXTENTACION ,the remedy for a broken heart (why am I so in love),287.0,2.0,8.0,0,1947379.0,99380590.0
Put Your Records On,Ritt Momney ,6AGOKlMZWLCaEJGnaROtF9,210.463,0.491,91.066,0,4,0.151,6,low-medium energy,F#/Gb,highly emotionally negative,535.0,Ritt Momney ,Put Your Records On,277.0,0.0,13.0,0,713447.0,99070218.0
Until I Found You,Stephen Sanchez ,1Y3LN4zO1Edc2EluIoSPJN,176.44,0.55,101.19,1,3,0.342,10,high-medium energy,A#/Bb,emotionally negative,536.0,Stephen Sanchez ,Until I Found You,229.0,0.0,27.0,0,538505.0,98647110.0
Until I Found You,Stephen Sanchez ,1Y3LN4zO1Edc2EluIoSPJN,176.44,0.55,101.19,1,3,0.342,10,high-medium energy,A#/Bb,emotionally negative,2818.0,Stephen Sanchez ,Until I Found You,23.0,0.0,20.0,0,589834.0,10463586.0
We Don't Talk Anymore,Charlie Puth ,37FXw5QGFN7uwwsLy8uAc0,217.707,0.563,100.017,0,4,0.352,1,high-medium energy,C#/Db,emotionally negative,537.0,Charlie Puth ,We Don't Talk Anymore,319.0,0.0,15.0,0,671737.0,98211121.0
Maniac,Conan Gray ,6KfoDhO4XUWSbnyKjNp9c4,185.773,0.639,108.045,1,4,0.493,8,high-medium energy,G#/Ab,emotionally negative,538.0,Conan Gray ,Maniac,382.0,0.0,66.0,0,400847.0,98117699.0
Light It Up,Major Lazer ,500mvzh7TRZ0YdnVeHhj8b,166.138,0.877,107.991,0,4,0.752,9,high-energy,A,highly emotionally positive,539.0,Major Lazer ,Light It Up,322.0,0.0,16.0,0,585856.0,98079211.0
Thotiana,Blueface ,5GBuCHuPKx6UC7VsSPK0t3,129.264,0.382,104.025,0,4,0.391,10,low-medium energy,A#/Bb,emotionally negative,540.0,Blueface ,Thotiana,175.0,15.0,6.0,0,1269217.0,98052157.0
Thotiana,Blueface ,5GBuCHuPKx6UC7VsSPK0t3,129.264,0.382,104.025,0,4,0.391,10,low-medium energy,A#/Bb,emotionally negative,3112.0,Blueface ,Thotiana,27.0,0.0,57.0,0,401335.0,8411540.0
Party,Bad Bunny ,4tYFy8ALRjIZvnvSLw5lxN,227.629,0.799,97.013,1,4,0.471,9,high-energy,A,emotionally negative,541.0,Bad Bunny ,Party,192.0,6.0,7.0,0,1576377.0,97935403.0
Rich Flex,Drake ,1bDbXMyjaUIooNwFE9wn0N,239.36,0.52,153.15,0,3,0.424,11,high-medium energy,B,emotionally negative,542.0,Drake ,Rich Flex,55.0,43.0,1.0,(x28),5389787.0,97928728.0
Bounce Out With That,YBN Nahmir ,5gQcxYXqnofyocKgEbGYKt,99.108,0.664,94.932,1,4,0.381,8,high-medium energy,G#/Ab,emotionally negative,543.0,YBN Nahmir ,Bounce Out With That,316.0,0.0,27.0,0,621033.0,97885440.0
Finesse  Remix; feat. Cardi B,Bruno Mars ,3Vo4wInECJQuz9BIBMOu8i,217.289,0.859,105.115,0,4,0.926,5,high-energy,F,highly emotionally positive,544.0,Bruno Mars ,Finesse  Remix; feat. Cardi B,181.0,34.0,2.0,(x7),1262874.0,97451275.0
Be Like That,Kane Brown ,5f1joOtoMeyppIcJGZQvqJ,191.406,0.626,86.97,1,4,0.322,7,high-medium energy,G,emotionally negative,545.0,Kane Brown ,Be Like That,302.0,0.0,24.0,0,651226.0,97216562.0
breathin,Ariana Grande ,4OafepJy2teCjYJbvFE60J,198.16,0.656,100.049,1,4,0.364,8,high-medium energy,G#/Ab,emotionally negative,546.0,Ariana Grande ,breathin,203.0,13.0,4.0,0,1653237.0,97210521.0
Cigarette Daydreams,Cage The Elephant ,2tznHmp70DxMyr2XhWLOW0,208.76,0.676,113.98,1,4,0.273,2,high-medium energy,D,emotionally negative,547.0,Cage The Elephant ,Cigarette Daydreams,418.0,0.0,108.0,0,265431.0,97198449.0
Savage Love (Laxed  Sired Beat),Jawsh 685 ,1xQ6trAsedVPCdbtDAmk0c,171.375,0.481,150.076,0,4,0.761,0,low-medium energy,C,highly emotionally positive,548.0,Jawsh 685 ,Savage Love (Laxed  Sired Beat),204.0,8.0,7.0,0,842470.0,97044129.0
Run Rudolph Run  Single Version,Chuck Berry ,6qgF7oiz11BBipygpNZT2m,165.733,0.715,152.132,0,4,0.957,7,high-medium energy,G,highly emotionally positive,549.0,Chuck Berry ,Run Rudolph Run  Single Version,228.0,0.0,13.0,0,2106577.0,96924483.0
PTSD,G Herbo ,1C8ux1YWLMHCenYJFiIV4Z,232.065,0.808,119.01,0,4,0.806,1,high-energy,C#/Db,highly emotionally positive,550.0,G Herbo ,PTSD,317.0,0.0,29.0,0,630282.0,96878801.0
Capsize,FRENSHIP ,2XMTqoHHSH0lvuXrvIEdco,237.707,0.708,92.991,0,4,0.355,5,high-medium energy,F,emotionally negative,551.0,FRENSHIP ,Capsize,282.0,0.0,21.0,0,547036.0,96799483.0
Do They Know It's Christmas?  1984 Version,Band Aid ,4Yg2w0P29BBBMixyeNjDtj,222.533,0.643,115.41,1,4,0.349,0,high-medium energy,C,emotionally negative,552.0,Band Aid ,Do They Know It's Christmas?  1984 Version,204.0,2.0,7.0,0,2071624.0,96606504.0
Hate The Other Side,Juice WRLD ,0ada5XsQGLPUVbmTCkAP49,160.212,0.65,90.003,1,4,0.647,6,high-medium energy,F#/Gb,emotionally positive,553.0,Juice WRLD ,Hate The Other Side,247.0,14.0,4.0,0,2855162.0,96515557.0
Super Freaky Girl,Nicki Minaj ,4C6Uex2ILwJi9sZXRdmqXp,170.977,0.891,133.01,1,4,0.912,2,high-energy,D,highly emotionally positive,554.0,Nicki Minaj ,Super Freaky Girl,137.0,66.0,2.0,(x12),1573025.0,96391022.0
Flashing Lights,Kanye West ,5TRPicyLGbAF2LGBFbHGvO,237.507,0.628,90.482,0,4,0.43,6,high-medium energy,F#/Gb,emotionally negative,555.0,Kanye West ,Flashing Lights,338.0,0.0,48.0,0,421366.0,96363563.0
Often,The Weeknd ,4PhsKqMdgMEUSstTDAmMpg,249.04,0.631,134.078,0,4,0.0713,7,high-medium energy,G,highly emotionally negative,556.0,The Weeknd ,Often,585.0,5.0,7.0,0,510308.0,95876024.0
Hot,Young Thug ,4ea9w8c4ROqiZpJVhfBA3m,279.907,0.631,111.983,0,4,0.545,7,high-medium energy,G,emotionally positive,557.0,Young Thug ,Hot,191.0,17.0,8.0,0,951762.0,95787556.0
Rain On Me,Lady Gaga ,7ju97lgwC2rKQ6wwsf9no9,182.2,0.855,123.056,1,4,0.646,9,high-energy,A,emotionally positive,558.0,Lady Gaga ,Rain On Me,209.0,21.0,1.0,(x1),2234783.0,95611004.0
Heaven,Kane Brown ,1HXy5I3HTWq8OvxCn0z7G7,179.507,0.556,80.006,1,4,0.521,9,high-medium energy,A,emotionally positive,559.0,Kane Brown ,Heaven,351.0,0.0,51.0,0,463042.0,95521001.0
Stuck In A Dream,Lil Mosey ,7iHHxY2NLlJRAmlAmC4ahQ,123.56,0.648,139.952,0,4,0.726,10,high-medium energy,A#/Bb,emotionally positive,560.0,Lil Mosey ,Stuck In A Dream,241.0,6.0,6.0,0,953948.0,95475910.0
Jugaste y Sufrí,Eslabon Armado ,3NqBxTOMCJ3zW9CIP51td4,275.194,0.499,200.156,1,1,0.34,7,low-medium energy,G,emotionally negative,561.0,Eslabon Armado ,Jugaste y Sufrí,278.0,0.0,22.0,0,530830.0,95201278.0
